time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.009536,0.009664,0.0096128,0.0096,2.119811312357803e-05,,,,,,8192,64,8,4,131072,1,32,32,True,FLASH_ATTENTION
0.009664,0.009728,0.00969712,0.009696,1.686373624082162e-05,,,,,,8192,64,8,4,131072,1,32,64,True,FLASH_ATTENTION
0.013599,0.013728,0.013664480000000001,0.013664,3.1024016503347937e-05,,,,,,8192,64,8,4,131072,1,32,96,True,FLASH_ATTENTION
0.013696,0.013792,0.013747180000000001,0.013759500000000001,2.0293535916640713e-05,,,,,,8192,64,8,4,131072,1,32,128,True,FLASH_ATTENTION
0.016928000000000002,0.017088000000000002,0.017027639999999997,0.017024,3.239429579416764e-05,,,,,,8192,64,8,4,131072,1,32,160,True,FLASH_ATTENTION
0.017024,0.017184,0.01711798,0.01712,3.858159664917924e-05,,,,,,8192,64,8,4,131072,1,32,192,True,FLASH_ATTENTION
0.02032,0.020575,0.020433079999999996,0.020432,4.8428024944241034e-05,,,,,,8192,64,8,4,131072,1,32,224,True,FLASH_ATTENTION
0.020416,0.020608,0.020514380000000002,0.020512000000000002,3.831234265873036e-05,,,,,,8192,64,8,4,131072,1,32,256,True,FLASH_ATTENTION
0.023744,0.023934999999999998,0.02382864,0.02384,4.175871645536988e-05,,,,,,8192,64,8,4,131072,1,32,288,True,FLASH_ATTENTION
0.02384,0.024032,0.0239185,0.0239195,4.5324276055994174e-05,,,,,,8192,64,8,4,131072,1,32,320,True,FLASH_ATTENTION
0.027168,0.027392,0.027268220000000003,0.027264,5.033419910955222e-05,,,,,,8192,64,8,4,131072,1,32,352,True,FLASH_ATTENTION
0.027232,0.027424,0.02732844,0.027328,4.1229193540499485e-05,,,,,,8192,64,8,4,131072,1,32,384,True,FLASH_ATTENTION
0.03056,0.030816,0.0306635,0.030656,5.2657098286936296e-05,,,,,,8192,64,8,4,131072,1,32,416,True,FLASH_ATTENTION
0.030687000000000002,0.030815000000000002,0.03073388,0.030719000000000003,3.742332962204137e-05,,,,,,8192,64,8,4,131072,1,32,448,True,FLASH_ATTENTION
0.033983,0.034143,0.03405662,0.034048,3.943951825263593e-05,,,,,,8192,64,8,4,131072,1,32,480,True,FLASH_ATTENTION
0.034047,0.034304,0.034160300000000005,0.034159499999999995,4.550439539209483e-05,,,,,,8192,64,8,4,131072,1,32,512,True,FLASH_ATTENTION
0.037343,0.0376,0.03746526,0.037472000000000005,5.079559429714342e-05,,,,,,8192,64,8,4,131072,1,32,544,True,FLASH_ATTENTION
0.037408000000000004,0.037664,0.03754848,0.037536,6.358435027583368e-05,,,,,,8192,64,8,4,131072,1,32,576,True,FLASH_ATTENTION
